date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,CIMF6,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,WD7,CE1,CE2,CE3,CE4,CE5,CE6,CE7,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,E1,E2,E3,E4
2006/1/31,1,38689,39124.7532,-435.7532019,-435.7532019,-536.4565869,15885.42919,8162.53287,-6438.306177,-11824.28221,-7302.366371,-6090.152343,-6930.555867,9552.044487,8838.358969,-2776.670678,0,-2006.111432,165.7943155,280.5129733,-7560.243523,-404.5182734,2049.667257,44593.54045,-3900.992535,3236.266704,-7173.398033,1622.444801,1029.044002,43875.63506,42589.99253,,,,,,,,,,,,,2590.584952,-9552.985852,6034.862413,113.311092,-7194.822114,639.3721973,46058.63463,-4150.615671,2825.42606,1278.213371,-5318.560386,-2470.083739,1603.276069,44921.3443,-4139.388341,3108.409305,-3075.494485,-2712.544846,2167.570026,28841.25775,13502.98271,999.9689833,,,,
2006/2/28,2,41460,41996.45659,-536.4565869,-493.6800649,-730.8575368,15924.47617,8168.349116,-6456.953882,-11835.22852,-7172.631149,-5978.60191,-6754.888356,9495.12612,8853.05854,-2915.94985,0,-4820.461952,3268.552711,406.8642734,-7941.090914,-406.9725123,2076.858673,44592.24436,-4540.448299,6943.89936,-7478.402679,1627.910864,1022.340281,43884.70047,46000.4483,,,,,,,,,,,,,-3030.672882,-83.19931708,4957.037251,190.6652495,-7294.899859,698.1101807,46022.94762,-4302.311714,5735.698309,1595.497453,-5637.402536,-2491.792686,1640.353201,44919.95797,-4285.690139,6205.006316,-3180.923043,-2818.467313,2176.834591,28857.46403,13503.97558,999.9274912,,,,
2006/3/31,3,51059,35173.57081,15885.42919,-612.7167592,-1026.818649,15932.22661,8237.094985,-6392.118166,-11913.90446,-6927.274107,-5788.855358,-6434.277618,9359.951201,8839.34706,-3137.9959,0,17110.83933,-3059.846529,-156.4202148,-7904.975501,-395.2015627,2099.106433,44590.90818,4417.385017,7681.401879,-7576.671256,1628.712828,1014.195149,43893.97638,46641.61498,,,,,,,,,,,,,42.60346079,8664.070471,2520.654674,310.1529532,-7218.792436,754.6008589,45985.7581,4560.933291,6814.283775,1260.241786,-5710.399812,-2458.92105,1674.435631,44918.42638,4574.895517,7170.353677,-3465.952327,-2802.154428,2202.321286,28872.0476,13504.77926,999.8846088,,,,
2006/4/30,4,47601,39438.46713,8162.53287,-851.3900715,-1425.494913,16064.61761,8221.639599,-6155.821718,-11841.86416,-6744.911188,-5792.486594,-6047.413782,9265.023077,8866.726293,-3351.852221,0,11684.24116,1249.820497,-669.8245939,-7477.165895,-370.2952911,2116.3999,44589.53251,4236.578976,4284.399004,-7452.758338,1624.720474,1004.600176,43903.45971,43364.42102,,,,,,,,,,,,,2219.469881,5792.160385,-674.9639422,474.9386574,-6966.985946,808.603345,45947.81437,4038.618088,4633.573628,221.2923493,-5543.921509,-2370.772064,1705.459253,44916.75026,4039.556376,4539.105393,-3943.538994,-2668.606034,2243.348796,28884.92401,13505.38971,999.8403511,,,,
2006/5/31,5,34785,41223.30618,-6438.306177,-1093.751964,-2022.441677,16201.8251,8193.849725,-5781.076936,-11697.07174,-6501.975291,-5759.760002,-5802.963022,9072.932873,8764.386435,-3451.783906,0,-5603.261549,2214.650175,-669.2569941,-6705.214187,-333.7501951,2128.759446,44588.11793,-3361.023128,-1259.788047,-7116.846894,1615.905212,993.6053891,43913.14747,38146.02313,,,,,,,,,,,,,-597.0132078,-1747.445603,-3769.359027,675.5644098,-6545.124832,859.8977809,45908.46205,-3707.318577,380.4166703,-1143.392276,-5161.54421,-2231.450083,1733.357671,44914.9308,-3720.988416,-315.0698855,-4447.473059,-2430.206259,2298.386105,28896.00304,13505.80368,999.7947332,,,,
2006/6/30,6,30895,42719.28221,-11824.28221,-1316.739286,-2589.592274,16533.94151,8053.004561,-5328.584598,-11507.92893,-6342.271977,-5879.932223,-5660.950069,8927.023192,8603.367393,-3456.987314,0,-12393.36371,1850.110805,95.02157213,-5661.657877,-287.0666784,2136.209351,44586.66504,-2826.474025,-6199.574985,-6585.526994,1602.266702,981.2725677,43923.03673,33721.47402,,,,,,,,,,,,,-1792.240983,-3139.320296,-5876.692719,890.8075051,-5963.917458,908.2598285,45868.03895,-3036.457811,-3733.655467,-2368.276879,-4591.072829,-2046.564097,1758.058355,44912.96873,-3073.553036,-4938.964644,-4768.206326,-2102.032173,2365.602667,28905.20198,13506.01844,999.74777,,,,
2006/7/31,7,35205,42507.36637,-7302.366371,-1418.227059,-3141.407884,16876.77186,8096.677053,-4969.579615,-11503.8238,-6187.584254,-5856.691257,-5755.374199,8758.508991,8411.409562,-3319.409992,0,-6686.979231,-870.5885412,1310.973813,-4425.222058,-231.7461215,2138.774873,44585.17441,2662.755995,-8066.959954,-5875.388708,1583.818242,967.6497995,43933.12463,32542.244,,,,,,,,,,,,,691.2139587,-1758.941858,-6358.98671,1090.723263,-5238.805172,953.4933239,45826.22828,2633.283626,-5504.830078,-2923.01387,-3868.692083,-1822.081032,1779.468419,44910.86502,2606.720618,-6863.356887,-4701.376101,-1701.456884,2443.102181,28912.44655,13506.03172,999.6994766,,,,
2006/8/31,8,37240,43330.15234,-6090.152343,-1585.134978,-3524.672715,17221.93895,8446.743723,-4765.574162,-11623.47743,-6266.894625,-5872.889528,-5977.700745,8790.083655,8338.858936,-3075.910179,0,-5980.028236,-2390.289565,2244.235739,-3074.631825,-169.2899047,2136.481267,44583.64663,1350.75194,-5561.505398,-5006.013112,1560.581891,952.776483,43943.4082,35889.24806,,,,,,,,,,,,,2022.242692,-3372.436847,-5040.99763,1241.478506,-4389.487502,995.3985879,45783.75023,1258.349375,-3677.979474,-2440.361374,-3041.898251,-1564.223509,1797.49173,44908.6215,1252.606884,-4622.188829,-4101.138487,-1248.740406,2528.982516,28917.66971,13505.8417,999.6498679,,,,
2006/9/30,9,38076,45006.55587,-6930.555867,-1732.445438,-3950.871589,17360.45514,9156.006032,-4791.707027,-11785.01262,-6329.813617,-5831.183301,-6332.957495,8650.519496,8378.105337,-2658.313939,0,-7157.34468,-2369.657838,2454.589302,-1688.612271,-101.1994085,2129.353791,44582.08229,-4517.30734,179.0964326,-4008.94531,1532.581132,936.6906148,43953.88447,42593.30734,,,,,,,,,,,,,-2646.586374,-1640.542131,-2282.623009,1311.208028,-3439.258653,1033.804594,45739.98541,-4644.737993,486.7246349,-1057.19216,-2147.856907,-1279.218822,1812.04149,44906.23976,-4623.067833,462.2621321,-3047.695054,-762.437384,2621.34367,28920.81037,13505.44707,999.5989589,,,,
2006/10/31,10,55525,45972.95551,9552.044487,-1862.577884,-4234.617993,17357.93732,10041.63266,-5005.417866,-11999.41364,-6468.556793,-5898.762585,-6600.712912,8520.929688,8601.783778,-2283.055051,0,8051.691421,-2322.019807,1966.909414,-340.8577738,-28.97601322,2117.4177,44580.48199,6560.977622,5498.92367,-2918.721411,1499.83945,919.430192,43964.55048,48964.02238,,,,,,,,,,,,,2342.197768,6432.136041,1125.193118,1275.930961,-2414.292574,1068.538764,45695.35319,6765.153573,3261.616183,963.1828369,-1218.425244,-973.2677105,1823.019388,44903.72097,6780.213734,4537.870515,-1678.228209,-260.4491913,2718.288512,28921.81183,13504.84691,999.5467648,,,,
2006/11/30,11,56107,47268.64103,8838.358969,-1917.245405,-4492.141232,17240.27161,10898.23836,-5290.105334,-12157.52259,-6569.570924,-6018.294118,-6834.589975,8297.482894,8948.165768,-1919.267747,0,9230.490323,-1229.134535,851.3375191,921.0145894,45.87890068,2100.698252,44578.8463,3229.965484,8308.09526,-1769.877526,1462.380328,901.033212,43975.40324,52877.03452,,,,,,,,,,,,,-2527.40153,7895.988577,4207.602743,1124.570648,-1342.801716,1099.46499,45649.62051,4236.07914,2773.53289,3303.592755,-285.6111071,-651.9591786,1830.29853,44901.06697,4246.625004,5530.515625,-152.1500567,239.3267432,2817.923022,28920.62051,13504.04067,999.4933004,,,,
