date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,IMF1,IMF2,IMF3,IMF4,IMF5,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,WD7,CE1,CE2,CE3,CE4,CE5,CE6,CE7,EE1,EE2,EE3,EE4,EE5,EE6,EE7,E1,E2,E3,E4
2006/1/31,1,49015,50358.51094,-1343.510939,-1343.510939,-1580.281314,17091.92704,7930.158708,-6135.751752,-11698.55358,-6574.995782,-5443.508999,-6463.650961,9006.281986,8703.087972,-3519.638502,0,-1422.851596,3547.315982,-6190.314918,3720.15021,2129.331896,47152.02777,-5043.656059,6783.279322,-2374.598355,2695.245417,46954.72967,54058.65606,,,,,,,,,,,,,6031.88556,-9809.430877,5553.072359,-3616.136796,1314.354348,3420.419118,46120.84168,-4752.388313,1981.924943,4240.147963,-3070.985743,2284.573249,8452.818616,39878.90929,-4743.636919,5447.632699,-1492.069127,1066.932631,14366.4604,30996.05962,3371.849504,,,,
2006/2/28,2,41763,43343.28131,-1580.281314,-1268.700924,-1663.775638,17114.8736,7913.425945,-6097.870177,-11761.22202,-6535.185965,-5481.12769,-6280.730552,8960.78884,8703.878999,-3581.745178,0,-6226.52697,-3177.820569,-6528.563423,3761.145977,2150.950488,47137.56884,-12799.90699,7255.13708,-2400.112993,2768.014466,46939.86843,54562.90699,,,,,,,,,,,,,-10651.20797,222.4010204,4715.425121,-3284.196796,1276.409667,3401.720972,46082.47412,-12217.13309,1949.38263,4350.841584,-3160.943594,2465.911496,8498.164731,39876.77624,-12217.68489,5691.841855,-1602.77037,1125.461303,14416.13815,30980.88792,3370.608423,,,,
2006/3/31,3,66356,49264.07296,17091.92704,-1271.460351,-1844.437677,17094.75204,7989.893691,-5986.223621,-11689.6855,-6562.159781,-5649.331611,-5989.203284,8934.189936,8779.735151,-3633.435135,0,19039.1032,2346.23314,-6115.680317,3768.006499,2147.464996,47118.04864,12055.90861,6779.374505,-2201.378088,2801.269792,46920.82518,54300.09139,,,,,,,,,,,,,6330.189802,9393.270242,2674.943894,-2688.307389,1233.420774,3370.137024,46042.46106,11531.09571,3737.333347,3007.545491,-2942.968238,2616.955931,8532.749171,39873.28859,11531.4811,6709.095565,-1876.58549,1201.899582,14450.1837,30961.8163,3369.202476,,,,
2006/4/30,4,54491,46560.84129,7930.158708,-1325.815944,-2347.896333,17125.18388,8002.942167,-5717.500253,-11523.7112,-6460.027544,-5739.941547,-5797.458793,8784.452165,8730.235554,-3560.308059,0,11914.00215,-1349.442145,-5043.262408,3740.716536,2119.247292,47093.58201,2861.291244,3747.686909,-1811.913033,2796.367313,46897.56757,51629.70876,,,,,,,,,,,,,-111.539808,6134.9333,-178.0164429,-1868.708934,1186.775568,3326.084317,46001.56148,1423.088043,3886.263416,489.1968077,-2468.667333,2736.62541,8556.076527,39868.41713,1445.077607,5148.774784,-2161.968007,1289.69487,14468.491,30938.79014,3367.6312,,,,
2006/5/31,5,43362,49497.75175,-6135.751752,-1389.114151,-2940.027329,17224.83879,7984.688584,-5345.267367,-11350.90617,-6354.194363,-5886.496556,-5650.911228,8757.678381,8627.798287,-3474.988326,0,-4817.112224,515.4605887,-3828.690363,3678.805164,2067.847023,47064.32934,-4042.458763,-942.7206839,-1278.437187,2755.448925,46870.16771,47404.45876,,,,,,,,,,,,,-454.2788049,-2495.492256,-3168.18099,-886.6360811,1137.411793,3270.079022,45959.13058,-5556.228611,1934.195315,-2458.972719,-1811.202359,2824.424707,8567.6488,39862.13487,-5540.513004,1081.211857,-2308.11115,1380.401244,14471.29567,30911.79709,3365.896006,,,,
2006/6/30,6,38034,49732.55358,-11698.55358,-1425.4847,-3719.403969,17428.62345,8048.950981,-4974.87206,-11336.54543,-6180.889136,-5842.762443,-5721.244613,8702.986027,8468.317814,-3255.345944,0,-12612.82782,-97.93826731,-2776.574439,3581.591507,1995.02379,47030.45099,-5193.692056,-5643.992276,-647.6699133,2680.593501,46838.76074,43227.69206,,,,,,,,,,,,,-2255.407271,-4561.233314,-5533.438769,180.0363883,1085.895118,3202.611171,45915.51552,-5806.825264,-1431.397232,-4989.986873,-1039.010918,2879.818072,8566.977115,39854.4251,-5798.474307,-4148.060884,-2193.473201,1465.52729,14458.88675,30880.8838,3364.000252,,,,
2006/7/31,7,43924,50498.99578,-6574.995782,-1500.26455,-4400.927001,17605.21621,8378.195056,-4709.510911,-11418.24854,-6228.196132,-5820.862995,-5902.954248,8819.212865,8416.676479,-3002.534053,0,-7662.622089,201.8625414,-2045.905993,3448.394687,1902.537191,46992.10735,3082.236108,-8569.267256,33.66942683,2573.870074,46803.49165,40841.76389,,,,,,,,,,,,,1640.285264,-2339.762525,-6646.889407,1243.277435,1032.355538,3124.294234,45870.41122,3668.426081,-4558.562904,-6268.525618,-218.2473771,2901.959412,8553.662227,39845.28818,3679.09986,-8223.201839,-1700.511855,1536.64558,14431.57768,30846.14538,3361.94861,,,,
2006/8/31,8,45846,51289.509,-5443.508999,-1594.212655,-5095.181414,17781.08154,9003.900851,-4614.303803,-11620.95216,-6291.197004,-5657.050932,-6311.338405,8644.019685,8438.509668,-2629.064766,0,-5901.37816,512.7479461,-1243.378411,3278.53383,1792.146825,46949.45881,3345.854933,-7423.097249,721.3892483,2437.347675,46764.50539,42500.14507,,,,,,,,,,,,,2179.901013,-2205.960738,-6177.729281,2212.929467,976.5948653,3035.710379,45824.54992,3862.043916,-4196.653523,-5660.586816,589.291079,2889.545669,8527.616762,39834.74291,3847.839972,-7389.955077,-751.7928368,1586.232583,14389.75918,30807.7103,3359.746569,,,,
2006/9/30,9,44284,50747.65096,-6463.650961,-1578.925648,-5596.113657,18070.40115,9751.208093,-4629.515489,-11946.52177,-6548.300732,-5578.286469,-6722.955991,8416.634718,8601.326439,-2331.727248,0,-7917.22533,-870.1516725,-21.80345709,3071.328059,1665.612292,46902.66574,-4668.714882,-1423.736489,1381.409072,2273.095335,46721.94696,48952.71488,,,,,,,,,,,,,-4429.300789,234.9378623,-4160.077394,3005.570657,918.0542945,2937.524066,45777.32309,-5066.456493,184.253407,-3324.277914,1337.674576,2840.777171,8489.20593,39822.82332,-5077.577594,-1268.290764,554.2511581,1609.221004,14333.86532,30765.72645,3357.399998,,,,
2006/10/31,10,62480,53473.71801,9006.281986,-1518.857177,-5926.251456,18419.54935,10580.78392,-4720.880959,-12268.60064,-6859.633522,-5627.151239,-7183.520846,8067.063764,8926.724617,-2027.377376,0,7507.745588,876.0754322,1394.964368,2826.096498,1524.693191,46851.88852,6921.97197,4816.708414,1982.176196,2083.182087,46675.96133,55558.02803,,,,,,,,,,,,,3462.489764,7036.685216,-987.6534073,3553.081529,855.9599274,2830.362671,45729.16164,6102.046356,3327.209469,61.65771539,1986.775664,2753.644784,8439.09084,39809.57517,6108.219032,4417.199643,2013.53164,1601.271674,14264.38436,30720.35588,3354.91513,,,,
