date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,CIMF6,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,WD7,CE1,CE2,CE3,CE4,CE5,CE6,CE7,EE1,EE2,EE3,EE4,EE5,EE6,EE7,E1,E2,E3,E4
2006/1/31,1,52452,54323.82346,-1871.823458,-1871.823458,-1981.750492,15148.09635,9024.100861,-5811.185364,-11509.72106,-6204.045809,-5332.511846,-5513.988887,8576.405007,9001.531201,-3557.431888,0,-1378.614827,3414.833607,2859.146907,1710.059409,1176.709057,1183.693998,43979.38048,-5387.836699,9708.078769,4410.219635,-126.3898844,656.7822411,43191.14594,57839.8367,,,,,,,,,,,,,4050.746408,-12423.41037,8270.018408,3865.1418,3174.529205,1434.143566,44080.84208,-5230.766933,8006.969522,2481.413918,579.1774017,1374.14446,45241.06163,,-5297.951863,8922.241901,3685.54792,633.675237,1526.107341,31897.17999,11083.14607,,,,
2006/2/28,2,53836,55817.75049,-1981.750492,-1833.847197,-2056.688483,15266.73434,8877.164931,-5693.802948,-11402.98735,-6276.424106,-5467.894997,-5498.825643,8664.375063,8976.946579,-3540.401006,0,-5018.050404,3882.391653,3814.926142,1786.265637,1186.75752,1189.589904,43957.81963,-8654.037507,14269.1864,4478.158167,-111.0209816,657.5272749,43196.18664,62490.03751,,,,,,,,,,,,,-5368.295449,718.4588484,6017.621752,3772.689546,3224.616625,1401.844667,44069.11955,-7892.429286,11493.25563,3020.970415,599.9311356,1394.043753,45220.22835,,-7947.925924,12484.06237,4134.281383,653.4601546,1538.070079,31892.76824,11083.1131,,,,
2006/3/31,3,70102,54953.90365,15148.09635,-1710.638834,-2413.800973,15537.7447,8630.778871,-5493.251057,-11282.41043,-6238.506662,-5570.977664,-5473.27868,8624.821051,8844.301356,-3471.841284,0,17887.65599,3951.964069,3047.631936,1665.231639,1168.755516,1184.501049,43935.81944,8322.587197,13733.84804,4291.362393,-104.9035533,657.4453681,43201.66056,61779.4128,,,,,,,,,,,,,3607.561566,12331.73503,2213.967964,3322.073959,3205.507901,1364.444034,44056.84011,8843.40286,11448.25657,2634.967944,600.7791849,1380.693844,45193.8996,,8819.116711,12215.8395,3864.535905,684.8035042,1542.507828,31886.98377,11083.12236,,,,
2006/4/30,4,54453,45428.89914,9024.100861,-1656.74748,-2908.368884,16034.02519,8393.262498,-5191.123378,-11179.11335,-6214.36178,-5766.385516,-5466.861346,8711.682592,8645.242533,-3405.527096,0,13192.56068,-3110.035281,946.6581595,1384.913369,1125.00492,1168.93109,43913.42688,-605.6830079,7407.354166,3895.507106,-108.2834817,656.5404721,43207.56475,55058.68301,,,,,,,,,,,,,-1228.94463,6876.691359,-2215.374671,2536.2286,3117.452345,1322.325449,44044.71551,-797.6691328,6803.725594,1367.454013,584.9239278,1332.23994,45162.32566,,-821.3758622,7112.447578,2915.126842,723.2155535,1539.408171,31879.81848,11083.17457,,,,
2006/5/31,5,39388,45199.18536,-5811.185364,-1535.130013,-3628.557593,16536.45015,8368.900919,-4898.38421,-11245.82148,-6104.377457,-5772.427235,-5537.341568,8663.654929,8443.455056,-3247.472017,0,-5317.244052,-554.1050856,-1338.120779,998.365307,1058.730745,1143.62338,43890.69179,-6153.757507,-1560.687814,3354.952643,-121.2144793,654.8106761,43213.89648,45541.75751,,,,,,,,,,,,,383.8321989,-4592.557103,-6151.391055,1477.600151,2962.54252,1275.908258,44032.08119,-7039.336931,-156.3565278,-342.952977,551.5980488,1249.209837,45125.83855,,-7051.325603,-404.0999592,1590.145446,762.6522683,1528.924895,31871.30784,11083.27087,,,,
2006/6/30,6,33245,44754.72106,-11509.72106,-1584.142211,-4369.758896,17065.46127,8733.916627,-4690.241201,-11384.74608,-6205.931787,-5800.742146,-5758.927007,8767.01952,8384.479976,-3014.702885,0,-13223.80149,1148.503734,-2902.567888,558.6419311,973.1064055,1109.372275,43867.6646,-3954.361902,-9263.854279,2734.059339,-143.7368337,652.2406449,43220.65303,37199.3619,,,,,,,,,,,,,-833.1943288,-5585.18976,-8569.312604,243.1073551,2744.707175,1225.593188,44019.24026,-5156.089386,-6332.512014,-1984.977741,499.9178267,1133.896363,45084.76495,,-5174.450722,-7088.753595,250.2175736,796.9369836,1511.30443,31861.50787,11083.41275,,,,
2006/7/31,7,37114,43318.04581,-6204.045809,-1669.984346,-5087.991755,17435.48591,9454.938021,-4714.035872,-11611.99118,-6278.178668,-5635.601736,-6165.886645,8488.560153,8412.447148,-2629.15822,0,-7867.798672,619.0213117,-3202.446411,118.7977206,871.2930021,1066.984403,43844.39578,4041.920051,-12725.86345,2097.101754,-175.7995765,648.8095616,43227.83166,33072.07995,,,,,,,,,,,,,500.2715428,-1163.82903,-8823.845363,-1045.923744,2469.566719,1171.834296,44005.85958,2757.813823,-9036.213057,-3069.595201,432.7898866,989.7633452,45039.4412,,2732.800461,-10123.43435,-744.013808,819.7576264,1486.90423,31850.48152,11083.60196,,,,
2006/8/31,8,37501,42833.51185,-5332.511846,-1706.844567,-5524.079535,17789.43682,10328.40108,-4834.101797,-11945.46612,-6541.226963,-5560.415115,-6623.706117,8169.143653,8588.20077,-2280.352534,0,-5747.355675,193.417855,-2678.110467,-276.4493741,756.4516353,1017.266393,43820.93581,2794.700497,-10452.5838,1495.74795,-216.7964635,644.5021805,43235.42964,34706.2995,,,,,,,,,,,,,1038.770644,-1686.458029,-6845.770612,-2257.57429,2144.297485,1115.059895,43992.61828,1623.145791,-7065.541181,-3218.410165,350.4970012,821.0939049,44990.21465,,1621.977442,-8206.134838,-1116.113751,825.2062773,1456.219998,31838.29479,11083.84048,,,,
2006/9/30,9,37232,42745.98889,-5513.988887,-1642.655204,-5608.959808,17993.7769,11212.69212,-5030.939848,-12350.08273,-6845.9645,-5485.780162,-7126.048841,7692.555379,8787.302472,-1785.112698,0,-8305.097214,-264.7268074,-1764.527456,-614.8602717,631.7434054,961.0248723,43797.33515,-4169.162196,-3148.947422,932.5266137,-265.1740773,639.3128469,43243.44423,41401.1622,,,,,,,,,,,,,-2330.399042,-807.7464471,-3176.631585,-3265.215558,1777.371059,1055.719452,43978.88141,-4187.980435,-1911.710081,-2490.280351,251.5574901,632.9684291,44937.44495,,-4158.693588,-2817.375273,-927.4118708,810.1497937,1419.893431,31825.0151,11084.13038,,,,
2006/10/31,10,53020,44443.59499,8576.405007,-1540.767487,-5478.15395,18027.80629,12045.40128,-5141.702906,-12679.75719,-7282.299375,-5574.514647,-7569.731804,7341.520807,8992.356394,-1286.927307,0,6502.391261,759.1472945,-599.5290183,-889.0634424,500.329413,899.0664848,43773.64426,5218.908883,3837.440717,397.6822582,-319.1419163,633.2373445,43251.87271,47801.09112,,,,,,,,,,,,,2749.77104,6712.209572,1183.733939,-3963.271661,1378.335047,994.2293914,43965.02846,6492.975832,2191.093104,-1116.167329,139.6409748,430.9561185,44881.5013,,6542.48721,1763.719422,-326.0961709,774.3560908,1378.664295,31810.7101,11084.47373,,,,
