date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,CIMF6,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,WD7,CE1,CE2,CE3,CE4,CE5,CE6,CE7,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,E1,E2,E3,E4
2006/1/31,1,13582,15278.2547,-1696.254701,-1696.254701,-3309.928653,4509.451715,4063.512388,-1306.142132,-4066.174877,-3824.823125,-3173.992788,-1192.476545,7162.362644,4289.80351,-1452.837707,0,-1554.214585,-800.3346699,-794.7896695,-2678.688912,857.4096013,18694.65835,,-2539.897751,-2413.831366,-2338.98672,1149.6994,19725.01644,,16121.89775,,,,,,,,,,,,,1206.901303,-4171.858544,301.1403886,-251.7268518,-2027.732016,70.99940991,18454.24405,-2726.452418,-978.4412535,-542.1868212,-1120.987179,90.03723095,610.1796291,18249.85081,-2676.412264,-1346.292472,-533.3541846,-749.3782116,1054.272273,13926.60226,3681.607122,226.1047652,,,,
2006/2/28,2,13898,17207.92865,-3309.928653,-1693.177993,-3333.752135,4494.736819,4056.921877,-1256.394494,-4108.793614,-3786.442738,-3135.980185,-1205.117735,7205.011855,4253.255673,-1521.253654,0,-3440.143104,740.7511946,-500.2607771,-2619.894084,896.3893935,18690.94292,,-1419.473153,-3132.431824,-2444.926166,1170.499159,19724.33198,,15317.47315,,,,,,,,,,,,,-2131.746914,-640.8024239,458.9371414,-272.1708417,-2034.406999,62.33227888,18455.83532,-3046.340139,375.5503639,-1187.572109,-1191.241604,90.61386097,609.2416931,18247.74793,-3014.276992,-265.6446725,-928.095202,-783.7112959,1059.829983,13925.35992,3681.196455,226.0783421,,,,
2006/3/31,3,20853,16343.54828,4509.451715,-1665.373685,-3401.253581,4526.186906,4056.906593,-1200.927632,-4212.498145,-3696.890591,-3041.57743,-1251.149567,7246.622202,4231.952022,-1630.941038,0,6216.641597,-660.4118559,-80.6322352,-2534.469574,932.1594342,18686.90251,,5909.783043,-3457.662791,-2507.442539,1185.527409,19722.79488,,14943.21696,,,,,,,,,,,,,819.1161626,3327.984949,425.3160336,-241.2545919,-1988.70198,53.27451001,18457.28059,3062.23511,1677.075828,-1608.0156,-1221.51658,89.88465106,607.6318988,18245.70469,3059.160638,870.7250664,-1181.787062,-790.4075603,1064.423565,13924.03314,3680.800015,226.0523117,,,,
2006/4/30,4,21487,17423.48761,4063.512388,-1658.439999,-3469.733856,4561.377695,4060.491045,-1083.862999,-4352.053105,-3637.873992,-2910.395734,-1243.719654,7221.780648,4178.651353,-1660.22987,0,4547.389372,-11.97799911,214.8613456,-2426.386676,964.4386635,18682.55228,,6267.17484,-3172.833691,-2522.261154,1194.535006,19720.385,,15219.82516,,,,,,,,,,,,,857.4367071,3962.020273,213.4774054,-157.5077018,-1891.185402,43.91036385,18458.86931,3359.217454,2100.120276,-1701.313051,-1207.928137,87.87012659,605.3119418,18243.72139,3336.571418,1259.701506,-1236.15568,-767.1455638,1067.979293,13922.62481,3680.417819,226.026694,,,,
2006/5/31,5,17042,18348.14213,-1306.142132,-1705.208422,-3530.359092,4589.220078,4082.666583,-978.6029137,-4467.075668,-3660.355347,-2700.6684,-1230.668927,7151.983299,4117.554779,-1673.69756,0,-1597.770011,587.0866955,389.8187171,-2299.616686,992.9460217,18677.90738,,761.8387611,-2146.989296,-2487.238838,1197.302856,19717.08652,,16280.16124,,,,,,,,,,,,,-815.6594492,1216.482734,-81.31855646,-28.13225924,-1744.015006,34.32703275,18460.31435,-466.2235956,1135.911286,-1407.821601,-1148.526955,84.60866247,602.2536062,18241.7986,-493.9539592,410.6613083,-1063.545622,-713.051942,1070.419636,13921.1394,3680.049715,226.0015089,,,,
2006/6/30,6,14432,18498.17488,-4066.174877,-1798.096503,-3535.935965,4685.520339,4085.206197,-847.6362113,-4577.876276,-3803.141914,-2566.188756,-1155.47502,7063.707737,4058.574359,-1591.754165,0,-5238.77056,460.958775,504.9635642,-2158.130898,1017.400449,18672.98299,,-3462.677079,-611.0616701,-2400.893026,1193.726364,19712.90541,,17894.67708,,,,,,,,,,,,,-263.3999497,-2049.987498,-321.9124321,131.8162648,-1550.888278,24.61240748,18461.73498,-1982.133003,-634.6918155,-822.5428738,-1047.141066,80.13106051,598.4407828,18239.93691,-1978.386116,-1122.093554,-726.3082522,-631.2259707,1071.664257,13919.58247,3679.695493,225.9767765,,,,
2006/7/31,7,13884,17708.82312,-3824.823125,-1861.216916,-3564.074665,4870.355133,4112.651891,-843.598467,-4659.566733,-4005.741197,-2527.610332,-1123.915556,7010.181656,4055.789984,-1489.200308,0,-4633.868189,-580.8007565,590.2093347,-2005.900608,1037.520886,18667.79426,,-5860.403904,1114.596456,-2261.775217,1183.711962,19707.8707,,19744.4039,,,,,,,,,,,,,402.1851237,-3590.86612,-389.7112903,301.4643166,-1316.942163,14.85291249,18462.98156,-1806.036092,-2229.92325,-76.81305284,-909.7922487,74.55730271,593.8703141,18238.13703,-1785.141371,-2394.317225,-308.7005091,-525.7481589,1071.636119,13917.96042,3679.354938,225.9525168,,,,
2006/8/31,8,15733,18906.99279,-3173.992788,-1827.881972,-3601.633483,5147.651445,4167.166705,-937.8748383,-4778.298206,-4171.820064,-2654.775058,-1145.176225,6954.374281,4141.03658,-1336.769683,0,-3527.75717,399.101475,638.9783957,-1846.46972,1053.026272,18662.35637,,-5732.530711,2664.79013,-2068.436907,1167.161394,19702.01609,,21465.53071,,,,,,,,,,,,,625.2945297,-2534.480211,-235.8294823,457.112972,-1048.585036,5.134267294,18464.32922,-865.5738016,-2242.322759,691.0933574,-743.2084134,68.05978588,588.5520556,18236.39978,-832.5479691,-2030.849791,103.9891996,-400.716619,1070.263557,13916.27991,3679.027827,225.9287507,,,,
2006/9/30,9,17889,19081.47655,-1192.476545,-1748.827923,-3602.610622,5439.634034,4255.97983,-1123.494126,-4900.577025,-4312.54209,-2843.739672,-1277.131742,6989.200457,4297.027465,-1264.982989,0,-1714.614157,478.8577665,563.4410284,-1681.142256,1063.635549,18656.68446,,-4630.937711,3500.015609,-1819.429595,1143.976406,19695.37529,,22519.93771,,,,,,,,,,,,,-1613.026667,1119.848121,98.71258314,575.7216152,-753.2939489,-4.458060063,18465.50242,-1890.796775,128.8916437,1326.859112,-554.0154088,60.82726979,582.5081004,18234.72606,-1884.505982,716.0722595,426.9855233,-260.2671299,1067.483223,13914.54764,3678.713936,225.9054991,,,,
2006/10/31,10,25661,18498.63736,7162.362644,-1673.759638,-3546.540679,5730.859824,4351.616277,-1294.106408,-5028.442495,-4426.586739,-3079.164391,-1419.909159,7083.66002,4464.621389,-1259.083685,0,7317.520309,-7.903631853,295.605682,-1508.926058,1069.067655,18650.79371,,3365.359749,3008.781916,-1515.182404,1114.058743,19687.982,,22295.64025,,,,,,,,,,,,,1818.929595,4691.464368,498.8519246,638.3552677,-439.3734598,-13.84020259,18466.65105,2804.215051,2660.893214,1682.485926,-348.4598574,52.9784355,575.7705042,18233.11673,2794.191421,3512.645881,586.7367757,-108.5768476,1063.242147,13912.77053,3678.413063,225.8827842,,,,
