date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,CIMF6,IMF1,IMF2,IMF3,IMF4,IMF5,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,WD7,CE1,CE2,CE3,CE4,CE5,CE6,CE7,EE1,EE2,EE3,EE4,EE5,EE6,EE7,E1,E2,E3,E4
2006/1/31,1,16719,18091.56426,-1372.564256,-1372.564256,-3549.277945,5095.344693,4011.902517,-1369.676919,-4320.785628,-3485.175924,-3282.427271,-1480.20446,7175.733317,4299.111234,-1682.490571,0,-1361.039883,-317.3951893,-329.566657,-568.1874288,678.9474361,105.5739934,18522.19211,-3203.36845,-2182.855485,1994.995686,781.856919,19328.37133,19922.36845,,,,,,,,,,,,,2012.820708,-4403.245371,1136.745894,-1431.158266,430.6659235,208.2913385,18750.31576,-4023.617391,317.6936949,-376.6122055,1329.368459,379.1430762,2946.60894,16146.41543,-4031.938741,228.794258,-291.7740044,811.9741563,669.4145257,14041.69271,5287.876537,,,,
2006/2/28,2,14769,18318.27794,-3549.277945,-1434.856743,-3528.091753,5068.10634,3979.158162,-1299.989901,-4363.120407,-3513.533881,-3191.491207,-1433.655397,7219.506307,4264.100839,-1715.519521,0,-3488.166312,-221.4444719,-328.7557744,-582.2267624,820.4587646,107.8714486,18522.37474,-4818.489578,-2596.619599,2025.004776,831.2597581,19327.84464,19587.48958,,,,,,,,,,,,,-3651.716571,-685.37692,1114.975217,-1377.622486,408.7093714,199.7983897,18745.06041,-5433.500349,-49.84786414,-688.2938493,1461.494288,385.6404179,2947.567828,16145.93953,-5439.210037,-177.527842,-574.3939332,939.9937203,691.6561918,14041.23724,5287.164047,,,,
2006/3/31,3,24377,19281.65531,5095.344693,-1528.453787,-3530.44749,4982.922307,3988.033974,-1156.531563,-4451.394039,-3539.97712,-3011.06347,-1353.164651,7190.004794,4189.250325,-1697.863377,0,6720.583294,419.0793359,-170.7663505,-546.5110431,947.7094321,109.6156481,18522.52829,5101.899672,-2969.904542,2052.770134,865.3386887,19326.89605,19275.10033,,,,,,,,,,,,,2034.323488,3472.791941,735.1330797,-1199.362656,388.3734887,190.4949907,18739.63884,5320.291743,-1044.693515,-934.2752913,1553.946986,387.9973181,2948.289002,16145.44376,5327.894148,-1204.88621,-813.5317249,1034.482691,704.319505,14039.37804,5286.403603,,,,
2006/4/30,4,22968,18956.09748,4011.902517,-1672.41201,-3547.513005,4935.116988,4009.183145,-1023.337278,-4523.084011,-3653.333086,-2755.687877,-1271.872859,7127.368457,4106.501702,-1675.939578,0,5282.362255,-377.5316306,110.0119928,-468.1335557,1058.319727,110.7785508,18522.6524,3669.5819,-2993.948362,2084.333804,882.5201139,19325.51254,19298.4181,,,,,,,,,,,,,583.6152671,3903.155419,85.62286588,-905.4402492,370.269594,180.4921781,18733.90812,5118.075949,-2137.229721,-1093.807125,1601.47231,385.8011716,2948.759814,16144.9276,5127.411709,-2308.5231,-970.582232,1089.680301,706.6703041,14036.07576,5285.596138,,,,
2006/5/31,5,17896,19265.67692,-1369.676919,-1796.122836,-3566.265549,4954.906554,4026.756595,-870.3984064,-4605.046551,-3827.891416,-2606.481035,-1172.524512,7053.648598,4051.761052,-1596.879623,0,-2028.959278,-484.3558698,320.2550218,-354.3188084,1150.017765,111.3321261,18522.74669,-1804.266758,-2618.041365,2113.39655,881.2249917,19323.68658,19700.26676,,,,,,,,,,,,,-1268.943244,1044.057073,-630.6005921,-518.1416168,354.666285,169.9069515,18728.15408,913.9278286,-2976.559439,-1110.815246,1597.344108,378.7352796,2948.976877,16144.39059,924.6377661,-3138.025233,-1007.065847,1100.164423,698.0767111,14031.32502,5284.743067,,,,
2006/6/30,6,16178,20498.78563,-4320.785628,-1872.277159,-3595.630835,5079.771117,4079.568986,-848.3506455,-4664.507346,-4072.624711,-2565.046502,-1127.419156,7008.457627,4054.081603,-1486.996684,0,-5617.606668,545.4655861,311.0642338,-212.3349767,1220.531664,111.2484446,18522.81068,-4258.572823,-1870.296348,2125.246331,860.1895789,19321.43326,20436.57282,,,,,,,,,,,,,41.03970829,-1864.432778,-1167.386963,-71.25901435,341.5259252,158.8546799,18722.10729,-581.519103,-3285.294336,-954.1433082,1539.32241,366.8550449,2948.947066,16143.83223,-572.0574202,-3414.2108,-889.4565949,1063.355184,678.401191,14025.17778,5283.845964,,,,
2006/7/31,7,15851,19336.17592,-3485.175924,-1834.551167,-3618.13908,5280.141827,4169.797516,-924.8103112,-4770.945117,-4263.148083,-2705.291069,-1149.041281,6950.681202,4138.383393,-1331.229589,0,-4750.011138,-594.5142583,81.26564931,-51.50848581,1267.589541,110.4998239,18522.84365,-5611.161601,-778.5967746,2102.190133,819.7916251,19318.77662,21462.1616,,,,,,,,,,,,,774.560079,-3198.433744,-1330.302275,393.2972334,330.4851141,147.454482,18715.92772,-1648.27623,-2745.479575,-632.4166361,1434.623193,350.6144007,2948.682838,16143.25201,-1651.706925,-2825.324004,-608.2664144,985.1548883,648.3977336,14017.70707,5282.906428,,,,
2006/8/31,8,16451,19733.42727,-3282.427271,-1743.005612,-3604.603241,5561.762124,4307.07898,-1129.681035,-4903.461131,-4420.252707,-2912.193157,-1296.761839,6971.944801,4292.205004,-1265.547234,0,-3901.790279,-127.9766706,-170.67528,111.2562499,1288.919529,109.0586214,18522.84482,-6257.766556,606.0820459,2025.002507,761.9404466,19315.74156,22708.76656,,,,,,,,,,,,,74.83903613,-2587.017498,-1051.848452,830.1202569,320.9116938,135.8216001,18709.50528,-3062.640351,-1016.30413,-184.916885,1293.476936,330.5371977,2948.197675,16142.64956,-3063.23904,-1050.117988,-209.2562287,873.8191803,609.0817387,14008.99373,5281.926065,,,,
2006/9/30,9,18963,20443.20446,-1480.20446,-1629.941329,-3548.743486,5892.114228,4519.034476,-1349.104756,-5095.257598,-4538.459301,-3200.753465,-1511.91156,7017.99107,4523.862364,-1210.098111,0,-2243.902471,590.9268079,-316.8539484,257.1712356,1282.234446,106.9125107,18522.81341,-4886.052968,1973.696623,1874.159379,688.8439812,19312.35298,23849.05297,,,,,,,,,,,,,-1622.557755,647.5519576,-415.7032651,1195.625519,311.9146927,124.0729858,18703.14177,-3538.63054,1665.738675,313.4804906,1125.850578,307.030516,2947.505604,16142.02468,-3540.038579,1673.991042,246.1072141,737.8811201,561.5256094,13999.12259,5280.906481,,,,
2006/10/31,10,27631,20455.26668,7175.733317,-1522.299375,-3521.584037,6196.483423,4784.854443,-1596.331123,-5278.252059,-4622.143652,-3452.046494,-1759.006941,7085.382888,4742.795156,-1173.363774,0,7121.970153,491.5684515,-279.2698624,370.9231832,1245.185354,104.1109221,18522.74863,3724.731868,2364.442888,1630.479267,602.7101671,19308.63581,23906.26813,,,,,,,,,,,,,2172.172893,4498.745492,376.1030528,1453.346255,302.4262062,112.3200738,18696.55872,3013.353115,3509.492972,798.8520457,940.9587605,280.344904,2946.62084,16141.37736,3013.915252,3557.196182,695.5160392,586.0787839,506.8235741,13988.1794,5279.849282,,,,
2006/11/30,11,24627,20327.88877,4299.111234,-1438.289802,-3510.550565,6433.377605,5044.697083,-1793.692087,-5441.79324,-4660.275597,-3634.234731,-1972.097551,7073.709628,4941.284551,-1109.396762,0,5138.466549,154.0310462,-76.01621673,451.0976314,1175.407004,100.7195942,18522.64971,2465.586842,1067.708831,1283.342447,505.7469424,19304.61494,22161.41316,,,,,,,,,,,,,-875.3522634,3748.290909,1074.216456,1578.448754,291.2469208,100.6745531,18689.88965,831.7097828,2517.226567,1192.891124,748.2021711,250.7051631,2945.557397,16140.70779,829.0158924,2598.919504,1070.75761,427.3146459,446.0743172,13976.25006,5278.756074,,,,
2006/12/31,12,18333,20015.49057,-1682.490571,-1390.644253,-3514.850767,6592.617659,5218.898781,-1925.85403,-5532.095991,-4686.729132,-3732.716605,-2126.715755,7072.107945,5063.576717,-1092.440216,0,-1041.890782,-347.3866614,173.2681265,498.5627675,1071.725956,96.80451609,18522.51587,-1210.339939,-1008.374934,851.237352,400.162245,19300.31528,19543.33994,,,,,,,,,,,,,-1544.156912,-2214.949946,1461.740779,1560.856262,277.1287702,89.24058448,18682.99756,-2203.169579,-729.8863548,1404.725293,558.5222605,218.4625501,2944.329583,16140.01625,-2202.703759,-635.8660803,1280.4722,270.6922359,380.3794662,13963.42048,5277.62846,,,,
2007/1/31,13,19192,20626.85674,-1434.856743,,,,,,,,,,,,,,,247.8700707,317.05313,509.4185404,937.7369906,92.43169588,18522.34631,1415.254046,-2167.023599,359.8438093,288.1640131,19295.76173,17776.74595,,,,,,,,,,,,,3177.095823,-5841.813051,1416.743224,1406.456227,258.8343074,78.11992271,18676.17506,2061.832542,-3835.177718,1317.733316,381.2444917,184.1150555,2942.949265,16139.30305,2059.820416,-3759.383339,1228.396978,124.4801676,310.8428966,13949.77658,5276.468047,,,,
2007/2/28,14,16479,20007.09175,-3528.091753,,,,,,,,,,,,,,,-78.39393046,216.778508,480.5333692,778.3663811,87.66714958,18522.14027,-2528.879754,-298.6955635,-156.3640761,171.9601846,19290.97921,19007.87975,,,,,,,,,,,,,-2654.934683,-1937.945611,943.1021537,1136.259648,235.2203332,67.40565388,18669.15879,-2071.581711,-1774.837469,877.9944667,219.2426363,148.1880224,2941.425516,16138.56854,-2067.882612,-1749.01322,858.8083933,-7.499986713,238.5695937,13935.4043,5275.276441,,,,
