date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,CIMF6,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,WD7,CE1,CE2,CE3,CE4,CE5,CE6,CE7,EE1,EE2,EE3,EE4,EE5,EE6,EE7,E1,E2,E3,E4
2006/1/31,1,19192,20537.41731,-1345.417312,-1345.417312,-3291.236655,4300.427118,4218.241157,-1167.801716,-4464.158888,-3037.793419,-3059.953073,-1592.167916,7005.517642,4182.064588,-1694.077594,0,-887.2518148,300.4107284,514.0307114,791.5081751,701.5951074,18229.87259,,-1024.168968,2741.494477,-518.1403736,-450.141547,18442.95641,,20216.16897,,,,,,,,,,,,,2098.516823,-3932.608286,1847.577588,281.6920235,757.7766578,-346.8135604,18485.84805,-753.4071077,1958.020625,-86.61808402,69.80826429,-125.5766358,18129.77294,,-758.3826442,1967.342527,86.58667965,-3.949544151,647.9555116,15170.66992,2083.995274,,,,
2006/2/28,2,16479,19770.23665,-3291.236655,-1434.267052,-3236.93175,4278.658161,4135.301485,-1055.694636,-4485.065898,-3236.035913,-2890.170651,-1483.699972,7138.320399,4102.326595,-1820.34461,0,-4153.197575,-330.5343628,516.7838945,758.0469389,597.9387451,18228.00143,,-4106.534389,3168.107989,-568.87284,-459.3396622,18445.6389,,20585.53439,,,,,,,,,,,,,-3724.2486,-406.7469846,1439.46872,247.7796776,786.9805198,-349.169582,18484.93672,-3614.548535,2117.06839,-180.7894204,181.9962284,-152.0433098,18127.31665,,-3618.71179,2087.370599,76.57272231,38.40382771,639.2546716,15174.58169,2084.825677,,,,
2006/3/31,3,24429,20128.57288,4300.427118,-1541.997465,-3209.664814,4353.03277,4009.592247,-879.3245501,-4510.199098,-3522.325084,-2715.322717,-1268.741006,7204.952801,3993.220909,-1838.959895,0,8560.307195,376.819742,358.6200007,682.4925072,484.3781863,18226.26244,,3660.885195,3362.750066,-573.987153,-469.6991799,18449.05107,,20768.11481,,,,,,,,,,,,,1400.415679,3293.66072,614.2146968,197.0403425,789.8861404,-350.048026,18483.86308,3412.745322,3306.928123,-553.2494947,312.2032399,-175.7226021,18126.09541,,3415.305606,3182.650635,-174.8565093,110.2715291,633.0961389,15179.06394,2085.678344,,,,
2006/4/30,4,23345,19126.75884,4218.241157,-1692.381763,-3179.89918,4384.542527,4008.090211,-793.3106257,-4559.788041,-3830.668738,-2451.630578,-1124.419599,7084.76923,3940.645545,-1744.562553,0,7006.875505,-252.729756,217.4808607,573.7576283,363.5886398,18224.66147,,3479.414926,2422.957274,-529.2266971,-481.3329367,18453.18743,,19865.58507,,,,,,,,,,,,,1375.608907,3361.674552,-422.0226625,130.0152445,766.2303472,-349.3915762,18482.9175,2667.977388,3378.477101,-1080.500113,449.2240166,-196.4028605,18126.22447,,2680.659275,3166.459832,-604.6253728,202.3713645,629.4774727,15184.11999,2086.552437,,,,
2006/5/31,5,17304,18471.80172,-1167.801716,-1752.255197,-3223.558857,4554.486508,4045.364777,-762.6099896,-4628.875217,-4112.422714,-2409.122809,-1035.209845,6876.194251,3992.244695,-1453.08263,0,-2742.898787,-559.8596884,128.2723916,441.9393472,238.245314,18223.20436,,-412.4908815,195.3699892,-442.9994777,-493.9221326,18458.0425,,17716.49088,,,,,,,,,,,,,-892.6765489,676.578812,-1380.285876,49.02320069,716.7060532,-347.155292,18481.81312,-1243.789278,1636.628804,-1581.476369,578.7065833,-213.8994572,18127.82972,,-1233.46194,1388.104089,-1057.655387,301.7153604,628.3804459,15189.74739,2087.447074,,,,
2006/6/30,6,13741,18205.15889,-4464.158888,-1763.82801,-3329.655143,4777.478038,4178.690532,-870.7947848,-4733.171603,-4348.526633,-2485.299623,-1114.174285,6840.774386,4099.847132,-1271.847928,0,-6049.665038,-474.774946,49.87874936,297.1347087,111.0234176,18221.89696,,-1611.613819,-2277.07726,-326.8796556,-507.0400582,18463.61079,,15352.61382,,,,,,,,,,,,,-1395.942895,-1626.942129,-1974.533095,-41.910342,642.9267993,-343.2949526,18480.66959,-1925.904515,-1060.254752,-1860.471715,684.7128622,-228.1193788,18131.0375,,-1922.351911,-1279.299974,-1368.572235,395.4324097,629.785435,15195.93897,2088.361332,,,,
2006/7/31,7,15629,18666.79342,-3037.793419,-1698.753361,-3451.843773,5146.449456,4426.980071,-1049.997839,-4908.334612,-4561.489673,-2767.467789,-1232.297201,6897.959469,4248.573133,-1173.103788,0,-4929.417194,464.1705173,-152.1611471,149.4407579,-15.40184082,18220.74513,,1399.283026,-3527.46845,-192.4413913,-520.260004,18469.88682,,14229.71697,,,,,,,,,,,,,1797.728683,-2703.369302,-2016.961478,-137.3827146,547.3894372,-337.7809538,18479.33782,1827.763213,-3101.229209,-1749.485625,754.9519516,-238.9695725,18135.96924,,1823.201685,-3216.020966,-1374.861189,471.9846285,633.6739044,15202.68361,2089.294266,,,,
2006/8/31,8,14355,17414.95307,-3059.953073,-1585.273284,-3595.255946,5658.424095,4856.214135,-1475.04586,-5065.066271,-4638.326136,-3165.666952,-1488.320888,7025.977845,4398.062886,-1260.406127,0,-4751.455789,-280.0875608,-395.3133803,8.954539736,-138.3552527,18219.75472,,-1412.70341,-2125.551623,-50.45480087,-533.1552609,18476.86509,,15767.70341,,,,,,,,,,,,,16.48117227,-2524.936218,-1486.345868,-231.1083003,433.3711362,-330.5872214,18478.09368,-1085.91352,-2089.420308,-1151.940045,785.9565959,-246.4148219,18142.7321,,-1087.027828,-2044.749671,-973.7110833,522.8676371,640.0260343,15209.96667,2090.244913,,,,
2006/9/30,9,16249,17841.16792,-1592.167916,-1448.077998,-3666.994753,6319.493642,5433.543606,-1888.814302,-5317.343632,-4705.580458,-3551.48349,-1865.366187,6940.600923,4640.098068,-1306.998764,0,-3450.74678,158.9719036,-167.7162899,-113.8576697,-255.1616094,18218.93159,,-2476.1751,694.4079058,91.52617848,-545.2991192,18484.54013,,18725.1751,,,,,,,,,,,,,-1667.581412,313.7970988,-540.4718686,-316.5299638,304.8220024,-321.7020868,18476.66209,-2627.589826,450.8886189,-251.3315205,776.041197,-250.4140301,18151.40556,,-2625.123223,665.5034611,-293.2329757,543.8084989,648.8165471,15217.77019,2091.212288,,,,
2006/10/31,10,24697,17691.48236,7005.517642,-1254.515497,-3800.895117,7083.922674,6031.359889,-2277.812922,-5538.172223,-4751.765701,-3970.747981,-2356.504484,6822.514032,4838.137954,-1232.196667,0,6494.170472,-285.9958791,326.571403,-204.2290296,-363.1457024,18218.28157,,3392.959865,3140.646897,226.7516543,-556.2648698,18492.90645,,21304.04014,,,,,,,,,,,,,1806.603156,4412.681386,534.9206814,-387.4678546,166.2140661,-311.1193312,18475.19359,3230.34577,2130.399975,701.5091459,723.642056,-250.9289251,18162.03198,,3233.296254,2472.585121,480.8512636,531.4837871,660.0099536,15226.07282,2092.195394,,,,
