date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,IMF1,IMF2,IMF3,IMF4,IMF5,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,CE1,CE2,CE3,CE4,CE5,CE6,CE7,EE1,EE2,EE3,EE4,EE5,EE6,E1,E2,E3,E4
2006/1/31,1,84685,87756.15515,-3071.15515,-3071.15515,-28220.7363,14692.5529,10948.18852,-3845.673119,1689.233102,1763.999913,-14642.9892,-11989.03063,20807.60939,12758.39626,-888.4291142,0,-4299.574275,-6267.848537,-812.0134269,-69.74155196,-1991.340919,96897.09958,-4269.702607,-4467.509725,-2141.772535,-3974.370395,99538.35526,88954.70261,,,,,,,,,,,,,8450.800718,-10205.22109,-5845.331979,1105.082954,-8317.494258,99497.08239,-3689.826455,-5873.926983,-1747.554993,-7017.231696,5495.852534,1069.73793,96447.94966,-3691.697592,-5872.957783,-2107.75969,-5273.931616,13523.26995,88110.69625,,,,
2006/2/28,2,72779,100999.7363,-28220.7363,-2907.276348,-28246.00902,14436.42581,10835.96893,-3752.510923,1610.177135,1956.904145,-14681.43611,-11767.00169,20920.71227,12585.46314,-986.1305131,0,-24597.30031,5782.960429,84.63790079,22.87092031,-1785.315287,96894.58234,-14339.26211,-6199.515293,-2211.5756,-3993.018595,99522.3716,87118.26211,,,,,,,,,,,,,-14058.04221,-1865.944418,-3216.457822,822.5430706,-8269.967919,99366.75096,-13294.38041,-8067.843983,-1653.896859,-7262.746882,5518.499747,1093.854229,96445.51416,-13297.66446,-8065.550705,-2138.345122,-5343.234861,13547.11176,88082.69589,,,,
2006/3/31,3,106548,91855.4471,14692.5529,-2743.381901,-28299.49503,14210.13549,10586.64238,-3412.38488,1497.42983,2122.351632,-14869.74422,-11568.84742,20977.03939,12614.26937,-955.5220399,0,12823.51386,-4697.032886,1042.698277,140.5228404,-1522.911019,96892.16989,13336.73398,-627.5032732,-1723.76631,-3933.172453,99495.70805,93211.26602,,,,,,,,,,,,,7291.391731,7345.329541,36.06046465,651.8898875,-7998.852174,99222.19558,13159.50109,-1169.6771,-1067.671752,-7453.008815,5516.407015,1119.022018,96443.42754,13163.22591,-1173.943129,-1676.94117,-5365.271552,13553.55653,88051.7739,,,,
2006/4/30,4,105057,94108.81148,10948.18852,-2711.841305,-28257.27928,13735.70118,10126.95182,-2613.451638,1531.238205,1882.182177,-14860.64596,-11008.32367,20615.01135,12639.46861,-1096.947356,0,13243.8331,-3512.796589,1687.829551,252.0912908,-1208.179785,96889.86701,4734.671822,5464.997719,-807.8417269,-3793.557503,99458.72969,100322.3282,,,,,,,,,,,,,3439.122176,6386.795116,3048.662443,623.4299749,-7507.14051,99066.16049,2954.739417,6703.266177,-101.4034499,-7576.453302,5489.90133,1145.270454,96441.67937,2951.904122,6699.371059,-829.3060133,-5327.980384,13542.29339,88017.95715,,,,
2006/5/31,5,92703,96548.67312,-3845.673119,-2882.816304,-27976.58125,13415.17335,9845.100612,-1827.627113,1579.513116,1462.854728,-14697.47735,-10724.80127,20050.03996,12942.21948,-1173.414516,0,-856.0341421,-2024.696757,2204.411288,326.4533541,-845.1732511,96887.67849,-9820.183649,6331.735434,353.0637217,-3573.555049,99411.93954,102523.1836,,,,,,,,,,,,,-6852.660589,1585.561245,5145.06893,731.1481377,-6804.607386,98898.48108,-12211.06946,8373.30719,1103.392132,-7614.99273,5439.515224,1172.587807,96440.25984,-12212.72853,8381.425334,254.4797305,-5217.292767,13513.47473,87981.31617,,,,
2006/6/30,6,102484,100794.7669,1689.233102,-3346.890511,-27523.33823,13204.98704,9558.579182,-918.8679113,1858.318431,603.8571398,-14422.08015,-10082.44772,18957.70945,13157.50642,-1424.870296,0,1691.932736,1136.27576,2878.339032,332.4861129,-437.9430868,96885.60908,5077.682969,-231.8476421,1554.870426,-3272.546394,99355.84064,97406.31703,,,,,,,,,,,,,1742.927718,1028.966378,5964.021338,934.6026383,-5907.592036,98721.08857,3946.120687,757.7208644,2322.388041,-7547.833576,5365.497161,1200.947626,96439.1592,3906.179739,778.225805,1403.106463,-5019.547543,13467.63705,87941.94477,,,,
2006/7/31,7,101753,99989.00009,1763.999913,-3804.743919,-26955.23495,13429.16834,9855.789101,-213.7186887,1945.135484,-565.1129693,-14433.451,-9915.459653,17807.01402,13824.79058,-1168.705589,0,-5414.563497,-778.7581273,3635.568953,239.8141733,8.711516606,96883.66357,9647.497814,-6805.239039,2509.718045,-2889.912841,99290.93602,92105.50219,,,,,,,,,,,,,3522.234018,-2109.197835,5477.026164,1166.888549,-4838.578375,98534.60871,10615.89086,-7804.44712,3363.357505,-7357.999717,5267.522444,1230.307538,96438.36849,10609.73168,-7797.138671,2360.386131,-4721.392892,13405.62056,87899.94238,,,,
2006/8/31,8,86872,101514.9892,-14642.9892,-4079.478132,-26535.10647,13504.45666,10563.27458,444.8791947,1937.735277,-2212.39749,-14804.84326,-9589.608648,16410.61224,14628.63417,-330.6479508,0,-18260.17776,920.0544916,3195.220207,30.86648902,487.0012733,96881.84674,-4866.883272,-7962.610802,2908.801059,-2425.035694,99217.72871,91738.88327,,,,,,,,,,,,,-2641.172182,-10489.09067,3938.311617,1347.4993,-3625.470694,98341.84541,-2720.215746,-10116.03083,3894.918962,-7030.170282,5145.004163,1260.614181,96437.87956,-2724.462281,-10129.03973,2849.348966,-4309.690338,13328.4734,87855.40914,,,,
2006/9/30,9,87775,99764.03063,-11989.03063,-4203.489968,-26020.0821,13502.47542,11609.78401,417.1008123,1782.622655,-3440.217931,-15549.26074,-9897.218456,15136.61503,15769.97804,1324.753957,0,-11399.86472,1035.059597,1132.341757,-271.3712034,987.8371286,96880.16335,-10329.02137,-1679.70276,2525.580532,-1878.578137,99136.72174,98104.02137,,,,,,,,,,,,,-3137.759051,-8125.050762,1797.935951,1397.828649,-2300.768232,98142.7831,-8712.913185,-3425.739694,3735.508022,-6549.00613,4997.654572,1291.811897,96437.68452,-8704.559245,-3456.038475,2661.108662,-3775.156855,13237.30631,87808.4452,,,,
2006/10/31,10,116104,95296.39061,20807.60939,-4250.381967,-25562.42407,13276.80647,12229.44896,61.51488422,1771.020255,-4259.392541,-16441.35406,-10117.0692,13978.21636,16729.34671,3031.539446,0,12339.42412,-941.4019504,-1508.856736,-631.7646944,1499.795809,96878.61818,8757.891321,8091.437546,1465.034419,-1258.781428,99048.41814,107346.1087,,,,,,,,,,,,,8283.106952,9936.914896,-411.7943837,1256.78005,-900.5022443,97939.57565,7948.49214,8549.937545,2930.918495,-5912.486752,4825.537157,1323.825562,96437.77585,7945.327367,8528.517185,1854.718581,-3125.780613,13133.23676,87759.15073,,,,
2006/11/30,11,108333,95574.60374,12758.39626,-4203.551959,-25085.46427,13038.00073,12644.94606,-504.1311401,1719.363701,-4614.654338,-17278.87511,-10727.92421,13211.28403,17728.76751,4685.460586,0,18695.10483,622.1936239,-2921.080158,-1013.989393,2010.263658,96877.21601,-875.5425156,10915.98301,-75.79055707,-584.9708872,98953.32095,109208.5425,,,,,,,,,,,,,-6829.645632,18208.71987,-2209.667872,893.8007961,536.8122465,97733.02975,-3520.420831,12949.5071,1608.082034,-5128.31139,4629.473581,1356.522687,96438.14682,-3516.736392,12947.87072,564.2323797,-2381.989536,13017.38231,87707.62589,,,,
