date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,CIMF6,IMF1,IMF2,IMF3,IMF4,IMF5,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,CE1,CE2,CE3,CE4,CE5,CE6,EE1,EE2,EE3,EE4,EE5,EE6,E1,E2,E3,E4
2007/1/31,1,93897,95934.9768,-2037.976796,-2037.976796,-28694.86681,14312.41099,10817.53111,-3716.369937,628.6859972,1642.35683,-15660.95724,-11683.85646,21747.19307,12803.09839,-42.63913831,0,-3.54E+03,-1204.55656,-184.1065811,1200.570287,949.6563947,95173.41326,94931.85076,2517.684795,-6066.525108,-6973.543255,8119.756659,96299.62691,91380.38386,,,,,,,,,,,,,12290.54008,-10777.49745,-1271.139581,-8501.22968,4142.889738,98013.3752,3714.480171,-8563.739851,-4117.600229,-766.1873606,6488.823616,97141.22365,3716.868776,-8574.657302,-6472.528009,7700.185537,64812.65035,32712.53379,,,,
2007/2/28,2,68538,97232.86681,-28694.86681,-2157.002444,-28653.86573,14176.16928,10485.66283,-3471.220177,831.4125541,1716.385409,-15630.1843,-11452.63631,21520.81434,12852.69957,-79.64088255,0,-2.51E+04,-1021.321392,365.3238261,1614.626466,1116.995771,95157.24214,94946.44121,-19955.83181,-8649.526762,-7333.31788,8162.423713,96314.25274,88495.63458,,,,,,,,,,,,,-22725.40766,-3055.980948,311.8314019,-7948.582893,4085.451376,97870.5764,-18209.48524,-11712.89699,-4448.127454,-765.9189659,6511.004101,97163.42455,-18205.34519,-11727.97304,-6816.312448,7753.531359,64820.87229,32712.38706,,,,
2007/3/31,3,115014,100701.589,14312.41099,-2390.501399,-28478.28055,13673.0709,10033.11757,-2728.281342,1144.357972,1535.693207,-15314.63728,-10898.08435,20878.62275,12794.28632,-296.6631768,0,1.38E+04,1060.58591,999.6562556,2229.022863,1268.356684,95143.96729,94961.40614,18378.44191,-839.4846712,-6994.623526,8140.682472,96328.98381,96634.40637,,,,,,,,,,,,,12074.64413,6362.249673,1574.959073,-6735.797699,4016.664892,97721.3234,17996.93038,-1585.629833,-4494.208678,-550.6764095,6460.510444,97187.0741,17996.20472,-1591.79578,-6689.187414,7768.845017,64820.85533,32712.3739,,,,
2007/4/30,4,111047,100229.4689,10817.53111,-2800.475596,-28121.83947,13314.25495,9752.208864,-1944.670886,1459.483507,1203.613206,-14894.46271,-10593.67967,20098.22303,12998.58198,-581.9271409,0,1.37E+04,-641.4208668,1321.349063,3014.575704,1401.303169,95133.66183,94976.73865,4769.586251,7864.536854,-5982.93321,8052.016789,96343.79332,106275.2772,,,,,,,,,,,,,4694.227369,7706.284133,2075.390687,-4936.399602,3939.062929,97568.48868,1712.463814,10116.88137,-4209.283423,-121.7368424,6336.529424,97212.14566,1714.341773,10124.08564,-6039.533265,7742.000865,64812.45134,32712.49219,,,,
2007/5/31,5,96659,100375.3699,-3716.369937,-3343.576738,-27663.77261,13105.94029,9517.127135,-965.242728,1822.059547,478.3902203,-14512.45819,-10040.98374,18984.01526,13087.82033,-903.1085462,0,-2.87E+03,-1264.925707,1053.605263,3946.892184,1513.399259,95126.3989,94992.43188,-12613.76933,9373.046772,-4353.039155,7894.110922,96358.65079,109271.3681,,,,,,,,,,,,,-8331.840983,4638.095368,1771.048881,-2683.697651,3853.447571,97411.9601,-16539.97085,12837.55174,-3494.211505,476.813032,6140.269078,97238.54851,-16547.94279,12850.80068,-4816.700718,7666.67447,64795.66851,32712.73609,,,,
2007/6/30,6,103999,103370.314,628.6859972,-3869.339064,-27089.45759,13337.71352,9842.885604,-220.5101667,1955.216251,-592.7997728,-14444.91922,-9976.738404,17843.00529,13693.92907,-807.3577649,0,3.44E+03,1371.911081,264.3400316,5009.602272,1602.20899,95122.25163,95008.47894,2064.4886,106.0210277,-2209.684541,7664.649358,96373.52556,101932.6331,,,,,,,,,,,,,-359.1272395,2548.998326,957.2292074,-161.030173,3759.228193,97253.72075,491.3009906,1512.912722,-2334.97074,1190.024303,5873.571872,97266.16085,479.2837567,1525.157687,-3023.33092,7536.019568,64770.64596,32713.09693,,,,
2007/7/31,7,105823,104180.6432,1642.35683,-4136.751302,-26611.67379,13438.08185,10576.52,460.4876917,1966.492743,-2172.894669,-14759.78526,-9766.516312,16450.72034,14444.54885,-119.5326606,0,-4.48E+03,1814.4934,-567.0022601,6146.562531,1665.296395,95121.29313,95024.87295,12205.14453,-10274.43165,142.5836013,7361.316579,96388.38694,93619.09876,,,,,,,,,,,,,6382.315686,-3782.415382,59.65581048,2414.793381,3654.252998,97094.38032,14150.47574,-12236.48227,-881.0520797,1956.805077,5538.407707,97294.84582,14150.99917,-12230.82501,-876.7959501,7343.006051,64737.70257,32713.56431,,,,
2007/8/31,8,88766,104426.9572,-15660.95724,-4212.842682,-26061.29902,13536.40034,11704.47603,326.9409501,1882.628861,-3359.243061,-15500.58611,-10203.51774,15300.38773,15499.19454,1260.385668,0,-1.95E+04,1251.630768,-940.4268979,7291.931264,1700.225509,95123.59656,95041.60702,-5715.544632,-11278.34176,2374.885073,6981.797071,96403.20425,94486.7441,,,,,,,,,,,,,-2494.512386,-13448.41235,-578.0875074,4814.97179,3535.247299,96936.7179,-1747.934049,-15322.74295,665.0383224,2710.34971,5136.808049,97324.48092,-1727.996884,-15335.21194,1351.992954,7080.408042,64697.35428,32714.12656,,,,
2007/9/30,9,90705,102388.8565,-11683.85646,-4154.331598,-25679.16566,13495.78388,12571.57584,-271.1000229,2168.624087,-4078.902298,-16594.89989,-10677.75381,14116.81089,16445.03733,2796.862544,0,-1.35E+04,-2164.823591,-652.0400372,8371.924741,1704.560367,95129.23502,95058.67428,-13839.9111,-2660.146336,4263.3353,6523.775319,96417.94682,104545.5775,,,,,,,,,,,,,-6017.041258,-9470.768785,-808.4810812,6822.893118,3397.771841,96780.61485,-11259.52288,-5518.905238,2079.999166,3377.979425,4670.503078,97354.94645,-11253.86067,-5542.365926,3393.110418,6740.85151,64650.26609,32714.77108,,,,
2007/10/31,10,129451,107703.8069,21747.19307,-3972.147921,-25335.82296,13673.82221,13211.52356,-1214.491062,2493.681127,-4269.541354,-17698.73146,-11745.01042,13273.91445,17639.07961,4236.591701,0,1.14E+04,1538.827804,91.48390934,9259.348528,1675.898057,95138.2486,95076.06786,11718.61568,9695.099231,5619.765311,5984.935807,96432.58397,117732.3149,,,,,,,,,,,,,10898.19821,11103.91604,-673.7738734,8257.875626,3236.789561,96628.10909,9975.324307,10873.44572,3183.450477,3891.337419,4141.310935,97386.13114,9978.210567,10865.68176,4978.399144,6316.895853,64597.16989,32715.48498,,,,
